No;alias;ensembl
407;MOX1;ENSG00000005102
135;CREB;ENSG00000005339
31;ER81;ENSG00000006468
66;TEF-5;ENSG00000007866
189;AP-2BETA;ENSG00000008196
297;MIBP1;ENSG00000010818
268;AML2;ENSG00000020633
74;LXR DIRECT REPEAT 4;ENSG00000025434:ENSG00000131408:ENSG00000117505
4;HELIOS A;ENSG00000030419
34;HELIOS;ENSG00000030419
138;NRF3;ENSG00000050344
323;FREAC-3;ENSG00000054598
81;ZNF228;ENSG00000062370
79;PIT-1;ENSG00000064835
146;CPBP;ENSG00000067082
408;RSRFC4;ENSG00000068305
190;RORALPHA1;ENSG00000069667
191;RORALPHA2;ENSG00000069667
50;ZXDL;ENSG00000070476
117;E12;ENSG00000071564
139;E2A;ENSG00000071564
160;E47;ENSG00000071564
110;CHOP;ENSG00000072364
147;P52 (NF-KAPPAB);ENSG00000077150
47;REX1;ENSG00000079313
269;TCF7RELATED;ENSG00000081059
71;TCF11;ENSG00000082641
116;PEBP;ENSG00000089220
73;ER;ENSG00000091831
271;SIP1;ENSG00000092208
51;CDC5;ENSG00000096401
417;MAZR;ENSG00000100105
132;HIF1;ENSG00000100644
93;HNF4ALPHA1;ENSG00000101076
312;OSX;ENSG00000101871
305;P50;ENSG00000102606
281;GAF;ENSG00000102678
115;HFH8 (FOXF1A);ENSG00000103241
341;FKHL5;ENSG00000103241
286;PUR1;ENSG00000103495
153;NET;ENSG00000103546
373;MEF-2;ENSG00000104177
382;OTX3;ENSG00000105392
109;MRG2;ENSG00000105419
59;EKLF;ENSG00000105610
43;ER71;ENSG00000105672
3;AHR, ARNT, HIF-1;ENSG00000106546:ENSG00000143437:ENSG00000100644
133;LHX6.1;ENSG00000106852
165;LHX3B;ENSG00000107187
166;LHX3A;ENSG00000107187
181;ZNF515;ENSG00000107249
164;DLX-7;ENSG00000108813
378;WHN;ENSG00000109101
98;PMX2B;ENSG00000109132
39;NF-KAPPAB (P65);ENSG00000109320
87;CACCC-BINDING FACTOR;ENSG00000109787
122;MRF4;ENSG00000111046
84;TLX;ENSG00000112333
102;ZNF450;ENSG00000112365
155;ZNF651;ENSG00000114853
157;HIF2ALPHA;ENSG00000116016
38;NRF-2;ENSG00000116044
177;PMX1;ENSG00000116132
78;LRH1;ENSG00000116833
19;FOXO3A;ENSG00000118689
42;AP-2REP;ENSG00000118922
57;ZNF499;ENSG00000119574
386;ERR2;ENSG00000119715
41;APA1;ENSG00000119725
361;SMAD8;ENSG00000120693
149;TR2;ENSG00000120798
45;ZNF31;ENSG00000121903
97;TFIIIA;ENSG00000122034
99;ZNF210;ENSG00000122386
63;DEC2;ENSG00000123095
419;NUR77;ENSG00000123358
94;NF-E2P45;ENSG00000123405
90;EOS;ENSG00000123411
131;SNA;ENSG00000124216
174;PDEF;ENSG00000124664
179;OSF2;ENSG00000124813
12;HNF-3BETA;ENSG00000125798
173;NKX2B;ENSG00000125820
96;ZNF339;ENSG00000125850
362;REV-ERBAALPHA;ENSG00000126368
75;CIZ;ENSG00000126746
414;CTIP-2;ENSG00000127152
329;LKLF;ENSG00000127528
46;TAX/CREB;ENSG00000128272
70;MYOD;ENSG00000129152
259;HNF3A;ENSG00000129514
358;HNF3ALPHA;ENSG00000129514
44;HFH4 (FOXJ1);ENSG00000129654
265;HB9;ENSG00000130675
11;LXRBETA;ENSG00000131408
2;RAR;ENSG00000131759
316;BMAL1;ENSG00000133794
261;N-MYC;ENSG00000134323
77;CLOCKBMAL;ENSG00000134852:ENSG00000133794
337;TCF-1;ENSG00000135100
145;CP2;ENSG00000135457
399;NGFI-C;ENSG00000135625
313;TGIF;ENSG00000136634
156;GKLF;ENSG00000136826
15;PRD51;ENSG00000137185
354;GCMA;ENSG00000137270
321;FREAC-2;ENSG00000137273
62;HMGIY;ENSG00000137309
400;SC-1;ENSG00000137310
368;CREB, ATF;ENSG00000137504
389;TFIIB;ENSG00000137947
35;LEF-1, TCF1;ENSG00000138795:ENSG00000132570
134;MASH-1;ENSG00000139352
25;IPF1;ENSG00000139515
369;ER-BETA;ENSG00000140009
104;ZNF690;ENSG00000140265
68;ICSBP;ENSG00000140968
124;ZNF434;ENSG00000140987
113;MEIS1B;ENSG00000143995
114;MEIS1A;ENSG00000143995
264;PXR (PXR;ENSG00000144852
33;ZNF21;ENSG00000147118
137;DELTAEF1;ENSG00000148516
390;TEL1;ENSG00000149311
120;MRF2;ENSG00000150347
28;FOXO1A;ENSG00000150907
125;ZNF312;ENSG00000153266
92;LBP-1;ENSG00000153560
188;GABPALPHA_GABPBETA;ENSG00000154727:ENSG00000104064:ENSG00000143458
86;SAP1A (ELK4);ENSG00000158711
148;USF;ENSG00000158773
172;AML;ENSG00000159216
55;TFF-1;ENSG00000160182
180;PREP-1;ENSG00000160199
106;LF-A1;ENSG00000160255
317;TORC2;ENSG00000160741
393;AIOLOS;ENSG00000161405
167;TAL-1ALPHA;ENSG00000162367
16;ZFP281;ENSG00000162702
26;LMX1;ENSG00000162761
24;C-REL;ENSG00000162924
288;ESE-1;ENSG00000163435
276;PSF;ENSG00000163453
118;TBR2;ENSG00000163508
130;RP58;ENSG00000163795
76;SZF1-1;ENSG00000164048
150;SZF1;ENSG00000164048
107;OLF-1;ENSG00000164330
351;EBF;ENSG00000164330
9;T (BRACHYURY);ENSG00000164458
111;ZNF325;ENSG00000164631
36;UNCX-4.1;ENSG00000164853
136;E4BP4;ENSG00000165030
388;TFIIA;ENSG00000165417
101;PMX2A;ENSG00000165462
158;SNAP190;ENSG00000165684
103;ZFP202;ENSG00000166261
159;NKX3A;ENSG00000167034
56;PRX2;ENSG00000167157
40;EZF-2;ENSG00000167685
37;ZSCAN11;ENSG00000167840
8;BETA-CATENIN;ENSG00000168036
412;RBP-JKAPPA;ENSG00000168214
67;TCF17;ENSG00000169131
7;DAX1;ENSG00000169297
18;STRA13;ENSG00000169689
175;HNF-6;ENSG00000169856
123;HNF-3GAMMA;ENSG00000170608
83;ZNF342;ENSG00000170684
82;FKLF;ENSG00000172059
119;SMAR1;ENSG00000172530
404;CHOP-10;ENSG00000175197
5;COUP DIRECT REPEAT 1;ENSG00000175745:ENSG00000185551:ENSG00000117505
85;PEA3;ENSG00000175832
306;DMRT4;ENSG00000176399
402;FKHL14;ENSG00000176692
360;C-MAF;ENSG00000178573
126;ZNF553;ENSG00000180035
411;ZNF816A;ENSG00000180257
314;GSH2;ENSG00000180613
143;ZNF545;ENSG00000181007
263;ZNF322A;ENSG00000181315
413;BRN-2;ENSG00000184486
162;COS52;ENSG00000185252
6;ZNF293;ENSG00000185669
336;A-MYB;ENSG00000185697
410;LYF-1;ENSG00000185811
54;PPARALPHA;ENSG00000186951
21;ZNF286;ENSG00000187607
140;ZNF307;ENSG00000187626
168;ZNF643;ENSG00000187801
169;ZNF642;ENSG00000187815
32;ZNF390;ENSG00000187987
142;ZNF306;ENSG00000189298
163;ZNF647;ENSG00000196150
387;ERR3;ENSG00000196482
416;BRN-4;ENSG00000196767
29;ZNF392;ENSG00000196812
58;ZNF498;ENSG00000197037
61;APAK;ENSG00000197050
420;VIK;ENSG00000197343
262;ZEC;ENSG00000197483
20;LUN-1;ENSG00000197579
65;TEF-3;ENSG00000197905
266;ZF5;ENSG00000198081
52;ZFP192;ENSG00000198315
377;OCT-4 (POU5F1);ENSG00000204531
161;DREF;ENSG00000214717
112;ZNF323;ENSG00000235109
144;ZNF542;ENSG00000240225
108;MIF-1;ENSG00000240972
152;ALF;ENSG00000242441
127;ERM;ENSG00000244405
324;FREAC-4;ENSG00000251493
331;TFII-I;ENSG00000263001
30;LIM-1;ENSG00000273706
