1	
2	RAR	ENSG00000131759
3	AHR, ARNT, HIF-1	ENSG00000106546:ENSG00000143437:ENSG00000100644
4	HELIOS A	ENSG00000030419
5	COUP DIRECT REPEAT 1	ENSG00000175745:ENSG00000185551:ENSG00000117505
6	ZNF293	ENSG00000185669
7	DAX1	ENSG00000169297
8	BETA-CATENIN	ENSG00000168036
9	T (BRACHYURY)	ENSG00000164458
10	CDP CR3+HD	
11	LXRBETA	ENSG00000131408
12	HNF-3BETA	ENSG00000125798
13	HNF3
14	TFE
15	PRD51	ENSG00000137185
16	ZFP281	ENSG00000162702
17	CDX
18	STRA13	ENSG00000169689
19	FOXO3A	ENSG00000118689
20	LUN-1	ENSG00000197579
21	ZNF286	ENSG00000187607
22	ZNF705F
23	SREBP
24	C-REL	ENSG00000162924
25	IPF1	ENSG00000139515
26	LMX1	ENSG00000162761
27	IRF
28	FOXO1A	ENSG00000150907
29	ZNF392	ENSG00000196812
30	LIM-1	ENSG00000273706
31	ER81	ENSG00000006468
32	ZNF390	ENSG00000187987
33	ZNF21	ENSG00000147118
34	HELIOS	ENSG00000030419
35	LEF-1, TCF1	ENSG00000138795:ENSG00000132570
36	UNCX-4.1	ENSG00000164853
37	ZSCAN11	ENSG00000167840
38	NRF-2	ENSG00000116044
39	NF-KAPPAB (P65)	ENSG00000109320
40	EZF-2	ENSG00000167685
41	APA1	ENSG00000119725
42	AP-2REP	ENSG00000118922
43	ER71	ENSG00000105672
44	HFH4 (FOXJ1)	ENSG00000129654
45	ZNF31	ENSG00000121903
46	TAX/CREB	ENSG00000128272
47	REX1	ENSG00000079313
48	GABP-BETA
49	BEN
50	ZXDL	ENSG00000070476
51	CDC5	ENSG00000096401
52	ZFP192	ENSG00000198315
53	TAL LIKE
54	PPARALPHA	ENSG00000186951
55	TFF-1	ENSG00000160182
56	PRX2	ENSG00000167157
57	ZNF499	ENSG00000119574
58	ZNF498	ENSG00000197037
59	EKLF	ENSG00000105610
60	PAX
61	APAK	ENSG00000197050
62	HMGIY	ENSG00000137309
63	DEC2	ENSG00000123095
64	HSF
